Fecha;PM10;CO;OZONO;NO;NO2;NOX;SO2;Vel Viento;Dir Viento;Temperatura;Precipitacion;PM2.5;HR;BBP;Presion Baro;BC ug/m3
1/03/2024 1:00;33,8;0,2;26,8;0,4;14,5;15;1,2;1,2;263;15,4;0;29,7;77;7,1;565;2,7
1/03/2024 2:00;0;0,3;16,3;0,7;23,5;24,2;1,3;1,1;257;15,3;0;41,8;74;13,3;565;4
1/03/2024 3:00;48,7;0,2;19,4;0,5;19,3;19,8;1,5;1,3;187;15,4;0;39,1;64;20,1;564;2,9
1/03/2024 4:00;47;0,2;20,2;0,6;19,2;19,9;1,5;1,6;182;15,2;0;40,9;62;10,7;564;3,6
1/03/2024 5:00;47,2;0,2;15,1;0,7;24,7;25,4;1,5;1;174;14,5;0;38,8;62;7,2;564;3,9
1/03/2024 6:00;48,9;0,4;2,1;15,1;37,9;53;1,4;0,9;1;13,5;0;36,7;73;11,8;564;6,5
1/03/2024 7:00;54,6;0,7;2,6;29,9;41,6;71,4;1,9;0,8;39;13,4;0;48,9;74;10,9;565;9,7
1/03/2024 8:00;61,7;0,9;13,7;21,2;36,7;57,9;2,7;1,5;197;16;0;46,8;51;5,6;565;6,9
1/03/2024 9:00;60,2;0,7;21,1;22,6;38;60,5;2,9;1,3;345;17,6;0;43,1;49;8,2;566;7,3
1/03/2024 10:00;61,5;0,7;33,3;17,6;38;55,7;2,3;1,2;50;19,7;0;45,2;42;6,8;566;7,5
1/03/2024 11:00;61,4;0,5;56;6,7;26,2;32,9;1,6;0,4;132;21,7;0;47,4;32;7,1;566;4,5
1/03/2024 12:00;50,6;0,4;70,7;5,1;27,8;33;1,7;2,2;297;22,3;0;38;31;9,5;565;5,1
1/03/2024 13:00;61,3;0,2;69,9;2,4;15,7;18;1,8;6,5;262;21,1;0;38,7;43;8,9;565;4,4
1/03/2024 14:00;72,8;0,1;60,4;2,4;10,7;13;1,6;7,4;246;20,6;0;49,1;48;8,9;564;2,9
1/03/2024 15:00;53,3;0,1;59,5;2,3;11,2;13,6;1,4;5,6;271;20,9;0;33,7;49;7,4;564;3,2
1/03/2024 16:00;61,5;0,1;54,1;3,2;13,2;16,3;1,6;6,5;269;19,6;0;45,6;56;10;564;3,7
1/03/2024 17:00;68,8;0,2;44,4;1,8;14,9;16,6;1,4;5,5;262;17,3;0;39,3;69;13;564;4,4
1/03/2024 18:00;65,5;0,3;38,2;1,5;16;17,5;1,3;3,1;254;16,7;0;43,6;72;14,7;564;3,7
1/03/2024 19:00;54;0,4;30,8;1,2;19,2;20,4;1,2;2,9;242;16,5;0;37,4;72;8,6;565;4,1
1/03/2024 20:00;60;0,4;26,1;0,9;22,6;23,6;1,1;3;257;15,9;0;44,8;76;8,4;565;4,1
1/03/2024 21:00;62,5;0,3;24,1;1,4;20,7;22,1;1;2,9;277;15,5;0;42;78;10,4;565;3,9
1/03/2024 22:00;51,5;0,3;19,4;2,2;22,3;24,5;1,1;2,4;253;15,4;0;42,4;75;9,8;566;5,6
1/03/2024 23:00;58,5;0,2;25,6;1,2;16,4;17,6;1,1;2,8;272;15,3;0;48,2;72;1,2;566;4,5
2/03/2024 0:00;52,7;0,2;28,2;0,9;12,8;13,8;1;2,5;275;15,2;0;34,9;73;7,2;566;2,7
2/03/2024 1:00;36,5;0,2;26,3;0,4;11,7;12,1;0,9;0,9;303;14,7;0;33,9;74;9,6;565;2,1
2/03/2024 2:00;35;0,1;21;1,2;15,1;16,3;0,9;2,1;2;14;0;33;78;16;565;2,3
2/03/2024 3:00;40,3;0,6;16,3;0,5;18,2;18,7;1;1,4;340;13,7;0;33,1;79;23,5;565;2,7
2/03/2024 4:00;44,8;0,6;8,8;0,8;26,4;27,2;1;1,7;350;13,3;0;35,6;79;23,6;565;3,4
2/03/2024 5:00;59,2;0,3;5,5;4,8;34,4;39,2;1,9;2,4;30;13,4;0;45,3;76;11,9;565;4,3
2/03/2024 6:00;60,8;0,4;2,5;15,6;39,2;54,9;2,4;2,3;19;13,3;0;50,3;75;8,7;565;6,4
2/03/2024 7:00;66,3;0,6;2,7;29,5;40,9;70,4;3,5;2,1;39;13;0;55,2;75;10,4;566;8,1
2/03/2024 8:00;72,2;0,6;9;28,7;36,5;65,2;10,4;2,5;31;14,5;0;57,8;70;3,9;566;7,3
2/03/2024 9:00;67,7;0,6;21,6;18,9;31,7;50,6;6,9;1,8;47;17,5;0;54,1;57;5,2;566;6,1
2/03/2024 10:00;64,2;0,4;41,4;7,8;23,5;31,3;3,6;1,9;32;19,2;0;55,8;48;11,8;566;4,1
2/03/2024 11:00;52,6;0,2;55,5;3,4;13,1;16,5;2,3;2,1;19;20,9;0;52,2;38;11,9;566;2,6
2/03/2024 12:00;41;0,1;64,5;1,9;10,5;12,4;2,2;1,8;355;22;0;37,2;34;9,6;565;2,3
2/03/2024 13:00;47,2;0,2;64;2;12,6;14,6;2,7;5,6;256;21,2;0;41,9;46;5,2;565;3,9
2/03/2024 14:00;75,8;0,2;56,6;2,8;11;13,8;2,3;6,3;272;20,9;0;56,2;48;9,5;564;3
2/03/2024 15:00;63,5;0,2;55,2;2,4;10,3;12,7;2,2;6,1;275;20,8;0;42;49;13;564;2,7
2/03/2024 16:00;56,2;0,2;52,1;2,2;10,6;12,9;2,3;5,9;276;20,1;0;42,1;53;12,7;564;2,7
2/03/2024 17:00;55,5;0,2;50,3;1,9;10,6;12,5;2,1;5,5;272;19,8;0;42,7;55;12,3;564;2,6
2/03/2024 18:00;46,8;0,2;45,5;1,4;11;12,4;2,4;4,8;257;18,2;0;37,9;63;11,4;564;2,3
2/03/2024 19:00;42,3;0,4;36,8;1,4;15,4;16,8;1,9;3,5;246;16,8;0;36,1;70;9,7;564;2,7
2/03/2024 20:00;48,8;0,4;38,9;1;13;14;1,5;3,7;248;16,2;0;37,2;75;13,3;565;2,6
2/03/2024 21:00;48,5;0,3;36,9;0,6;13,9;14,5;1,3;2,3;255;15,9;0;40,2;77;15,3;565;2,8
2/03/2024 22:00;52,2;0,2;32,3;0,4;14,5;14,9;1,2;2,5;304;15,6;0;44,2;77;20,2;565;3
2/03/2024 23:00;53,8;0,2;25,4;0,6;13,1;13,8;1;2,7;326;14,5;0;45,6;78;31,6;566;1,6
3/03/2024 0:00;30,9;0,1;26;0,6;8,9;9,5;0,9;2,7;304;13,2;0;20,3;83;36,7;566;1,2
3/03/2024 1:00;0;0,1;25,5;0,6;7,4;8;0,9;1,2;345;13;0;25,7;84;27,4;565;1,1
3/03/2024 2:00;0;0,1;25;0,3;8,2;8,5;0,9;0,6;349;13,1;0;20,1;84;22,6;565;1,4
3/03/2024 3:00;0;0,1;21,7;0,4;11,9;12,3;0,9;0,3;300;13,5;0;21,8;84;23,7;564;1,3
3/03/2024 4:00;0;0,1;19,9;0,3;11,7;12,1;0,9;0,7;298;13,4;0;18,2;84;15,7;564;1,5
